"d4r55","RfnDt","rsqaWe","wiI7pd"
"Mirian Perez “perlalegitima”","Local Guide · 549 reseñas · 1.550 fotos","Hace un mes","Es un barrio estupendo. Lo conozco bien porque incluso he vivido en él y volvería a vivir. Cuenta con todos los servicios. Está bien ubicado, tiene buena voneccion por trasporte publico y privado"
"Alejandro Infestas Blanquiño","Local Guide · 460 reseñas · 670 fotos","Hace 4 años","Mejoraron la estación adaptándolo poniendo ascensor, pero las escaleras casi siempre estropeadas y pasillos muy largos a pesar de tener solo una linea."
"Jhon Fredy Serna Mejía","Local Guide · 106 reseñas · 53 fotos","Hace 9 meses","Es una estación muy tranquila, la persona que atiende en la oficina siempre presta ayuda cuando la he necesitado. Mantiene muy aseada la estación."
"Javier De Castro Martinez","Local Guide · 169 reseñas · 1.779 fotos","Hace un año","Barrio popular cercano a la almendra central, bien equipado y con buenas infraestructuras. Actualmente esta atravesando por una renovación de su población con incorporación de generaciones jovenes que aportan un nuevo impulso a un barrio tradicional de Madrid."
"Rafael Viñuela","Local Guide · 438 reseñas · 69 fotos","Hace 7 meses","Perfecto ha quedado bastante bien después de poner los ascensores!!!!"
"juan carlos hurtado delgado","Local Guide · 320 reseñas · 2.015 fotos","Hace un año","Es la estación de la plaza. Es como todas, bajas el tramo de la calle a las taquillas y una vez pagas. Empiezan las escaleras mecánicas, luego llegas al andén y a esperar. Estaba limpio y poca gente."
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace 3 meses","Estación muy mejorada tras su reforma, ya es totalmente accesible"
"Cristian Gonzalez","Local Guide · 27 reseñas · 9 fotos","Hace 6 años","Bien, salvo que las escaleras mecánicas se rompen con demasiada frecuencia. Para variar, lleva 3 semanas rotas y sin esperanza de que lo vayan a arreglar..."
"Artemanas","Local Guide · 26 reseñas","Hace 3 años","Las escaleras mecánicas están siempre en reparación. No sé que les pasará pero que las cambien."
"Ignacio Sanz","Local Guide · 32 reseñas · 10 fotos","Hace 7 años","No adaptada. Además, cualquier día en que vas te encuentras con una de las escaleras en revisión. Deben de ser las escaleras más cuidadas de la red de metro."
"Pepe Lopez-Galvez","Local Guide · 110 reseñas · 116 fotos","Hace 6 años","No adaptada a usuarios con movilidad condicionada por silla de ruedas. En la actualidad están adaptando los accesos a todo tipo de pasajeros."
"Victor Manuel Gonzalez","Local Guide · 12 reseñas · 5 fotos","Hace 2 años","Una zona concurrida,de barrio con pocas zonas de salidas pero el diseño de la estación es bonito."
"Óscar Alarcón","Local Guide · 241 reseñas · 506 fotos","Hace un año","Merece la pena ir solo por los restaurantes de la zona y sobre todo por el Centro Cultural Islámico ( mezquita )."
"katherin Gonzales","Local Guide · 5 reseñas · 2 fotos","Hace 7 años","No tiene acceso para discapacitados o carritos de bebé, las escaleras que conducen al anden solo son para subir no hay para bajar"
"Antonio dos santos","Local Guide · 231 reseñas · 236 fotos","Hace 2 años","Excelente estación con servicios para todas las personas"
"Jesús Manuel Verde Pardal (Copperfield80)","Local Guide · 221 reseñas · 2.362 fotos","Hace 3 años","Una zona muy de barrio, con muchas tiendas y comercios minoristas"
"Ana Toledano Rodriguez","3 reseñas · 7 fotos","Hace 7 años","Vivo por aquí,y no solo las escaleras del metro están mal,las aceras también,está muy descuidado el barrio."
"Jesús A. Castillo Santizo","Local Guide · 898 reseñas · 3.074 fotos","Hace un año","Ya con zona verde de aparcamiento en muchas de sus calles."
"Amador Hernández","Local Guide · 145 reseñas · 210 fotos","Hace 4 años","Familiar, acogedor y toda clase de servicios, buenos transportes y parques"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Barrio de la Concepción es una estación del servicio de metro de Madrid línea 7 en el distrito ciudad lineal en Madrid España"
"Álvaro","Local Guide · 31 reseñas · 4 fotos","Hace 5 años","10 minutos para bajar al andén y encima siempre estan las escaleras rotas"
"Andrés Florido","Local Guide · 366 reseñas · 8 fotos","Hace 7 meses","Limpieza bien"
"Maite con Pastas","Local Guide · 31 reseñas · 5 fotos","Hace 4 años","Estamos encantados con nuestro nuevo ascensor gracias"
"Jorge Mayo","Local Guide · 14 reseñas","Hace 6 años","No adaptada y una de las salidas siempre huele a choto"
"Raul C R","Local Guide · 77 reseñas · 52 fotos","Hace 6 años","Suele estar bastante tranquilo"
"L. C.","Local Guide · 136 reseñas · 2 fotos","Hace un año","Bonito y limpio"
"Salvador Barambio Heras","Local Guide · 555 reseñas · 856 fotos","Hace un año","Tranquilo"
"Leti","Local Guide · 215 reseñas · 1.110 fotos","Hace 3 años","Lindo barrio"
"Antonio Álvarez","Local Guide · 435 reseñas · 32 fotos","Hace un año","Es mi barrio"
"Jorge Portillo Martin","24 reseñas","Hace 7 años","Buen barrio."
"Yeste Media","Local Guide · 24 reseñas · 1 foto","Hace 4 años","😍😍😍…"
"Alberto Salas Saiz","3 reseñas","Hace 7 años","¡¡¡Fan de las tortillas!!!"
"Luis Alonso Agúndez","Local Guide · 131 reseñas · 13 fotos","Hace 7 años","A tope con la Conce"
"AnneSophie Malroux Martin","Local Guide · 202 reseñas · 79 fotos","Hace un año","Tan tranquilo y pacífico. Hermoso"
"matteo monachello","Local Guide · 345 reseñas · 44 fotos","Hace 6 años","Desde aquí íbamos a todos lados.... billete de metro 1,50€"
"Aasif Chhipa","Local Guide · 362 reseñas · 240 fotos","Hace 2 meses","estación de metro"
"Susana Cabeza","Local Guide · 439 reseñas · 3.526 fotos","Hace 4 años",""
"Nelly Sanchez","Local Guide · 179 reseñas · 151 fotos","Hace un año","Súper"
"Dina Agha","1 reseña","Hace 7 años","buscar"
"Abrar Hussain Choudhury","Local Guide · 838 reseñas · 171 fotos","Hace 7 años","Servicios de metro"
"Yacine Lachgar","Local Guide · 35 reseñas · 27 fotos","Hace 2 semanas",""
"Mayte Gallego García","Local Guide · 185 reseñas · 342 fotos","Hace 6 meses",""
"Germán Serna","Local Guide · 141 reseñas · 89 fotos","Hace 7 meses",""
"Antonia Bernat socias","Local Guide · 25 reseñas · 34 fotos","Hace 7 meses",""
"Izabela","Local Guide · 63 reseñas · 32 fotos","Hace un año",""
"Marko Enrique Salinas Perez","Local Guide · 37 reseñas · 132 fotos","Hace un año",""
"Sami b","Local Guide · 12 reseñas · 24 fotos","Hace un año",""
"Marian Casarrubios","Local Guide · 74 reseñas · 1 foto","Hace un año",""
"Encar Aguilera","Local Guide · 44 reseñas · 697 fotos","Hace un año",""
"Rodrigo Martín","Local Guide · 135 reseñas · 29 fotos","Hace un año",""
"maria elena paredes puga","Local Guide · 214 reseñas · 131 fotos","Hace 2 años",""
"Antonio Reges","Local Guide · 124 reseñas · 591 fotos","Hace 2 años",""
"Pedro Fernández Hidalgo","60 reseñas · 15 fotos","Hace 2 años",""
"Francisco Javier Blazquez Martin","Local Guide · 144 reseñas","Hace 3 años",""
"Gabriel Manquillo","Local Guide · 220 reseñas · 8.488 fotos","Hace 3 años",""
"Lucia Ciudad","Local Guide · 32 reseñas · 1 foto","Hace 3 años",""
"jonatan segura","4 reseñas","Hace 3 años",""
"JL TC","128 reseñas · 1.044 fotos","Hace 3 años",""
"Raul Garcia","Local Guide · 76 reseñas · 22 fotos","Hace 4 años",""
"fernanda romero-valdespino","Local Guide · 68 reseñas · 1 foto","Hace 4 años",""
"Ayham Al Sati","Local Guide · 48 reseñas · 676 fotos","Hace 4 años",""
"Borja Notario","Local Guide · 7 reseñas · 159 fotos","Hace 5 años",""
"augusto lopez","2 reseñas · 2 fotos","Hace 5 años",""
"elena ramiro martin","Local Guide · 18 reseñas","Hace 5 años",""
"Jesús Caballero “Jesemi”","Local Guide · 280 reseñas · 64 fotos","Hace 5 años",""
"Jeff Drummond","1 reseña","Hace 6 años",""
"Marta Collado","8 reseñas · 1 foto","Hace 6 años",""
"Fran A Garcia","","Hace 6 años",""
"Carlos Fernández","2 reseñas","Hace 7 años",""
"J. Noir","Local Guide · 91 reseñas · 78 fotos","Hace 7 años",""
"Faby Sanchez","Local Guide · 28 reseñas · 757 fotos","Hace 7 años",""
"Luna Hermosilla Blanco","7 reseñas","Hace 7 años",""
"Marleny Gaviria","","Hace 7 años",""
"Isabel García","","Hace 7 años",""
"Alicia Aramburu","4 reseñas","Hace 7 años",""
"esther","Local Guide · 106 reseñas · 533 fotos","Hace 7 años",""
"Mauricio Pineda","","Hace 7 años",""
"DAPC","Local Guide · 34 reseñas · 7 fotos","Hace 7 años",""
"Tanvir Anjum Ahmed","Local Guide · 31 reseñas · 21 fotos","Hace 7 años",""
"Rumi Chena","","Hace 7 años",""
"Alberto Fernández Peláez","Local Guide · 186 reseñas · 250 fotos","Hace 7 años",""
"Juan Smith Carrillo","Local Guide · 13 reseñas · 33 fotos","Hace 8 años",""
"Andrés E.","Local Guide · 31 reseñas · 7 fotos","Hace 8 años",""
"toni jimsan","3 reseñas · 3 fotos","Hace 8 años",""
