"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjU_UBSNe0FmDGFPh9dCCK8u2mcSbIGCQoXAx5eB8byq7uRr_t1bsQ=w45-h45-p-rp-mo-ba4-br100","Lorelanga","Local Guide · 74 reseñas · 67 fotos","Hace 4 meses","Estación con sus instalaciones bastante antiguas, pero tiene su encanto. Si que se le echan en falta dos cosas, una sería que las dos salidas se actualizarán y dispusieran de ascensor, hay mucha gente mucha gente mayor por esa zona y no dispone de accesibilidad; la otra es que está muy desolada, se echa de menos un poco de seguridad como he observado en otras paradas."
"https://lh3.googleusercontent.com/a/ACg8ocLPM4zis9ruCHjE_GkcRcQwHq7yUUCIf2hbVAISbofMj6tZYQ=w45-h45-p-rp-mo-ba6-br100","David Perez Martorell","Local Guide · 599 reseñas · 4.751 fotos","Hace 5 meses","Metro Garcia Noblejas en zona este de Madrid espacio muy popular. La calle García Noblejas lleva el nombre de José García Noblejas, un político y escritor español del siglo XIX. Fue un miembro destacado del Partido Liberal y llegó a ocupar cargos importantes en el gobierno, como el de Ministro de Gobernación. Además, fue autor de varias obras literarias. La calle fue nombrada en su honor por su contribución a la política y la cultura española."
"https://lh3.googleusercontent.com/a-/ALV-UjXfEkXNESa9Tyc5ydWngIl-uGDLShiN8eUzJNniKIL_wul4rmYxsA=w45-h45-p-rp-mo-ba5-br100","Antonio Jiménez Valcárcel","Local Guide · 263 reseñas · 171 fotos","Hace 7 meses","Una estación que necesita una reforma urgente. Huele mal por las filtraciones. Paredes y techos sucios. Pero como no es una estación del barrio Salamanca pues nos toca"
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w45-h45-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.441 fotos","Hace 6 años","Es una estación de metro bastante antigua, se reconoce que requiere una reforma y actualización, ejemplo ascensores, acceso al WiFi, limpieza a fondo, aunque por la frecuencia que uso... Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocLlXnbidmi6VtxCkVRrTIBwsFY8-U6Y0mrWCqU7c2E4FAS6os0=w45-h45-p-rp-mo-br100","Estefanía Carolina Proaño Montenegro","4 reseñas","Hace 2 meses","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXp6AEeNaKKHRxENxYVcvVycfJrVp_EfjYvGdr2NCu5uFI3r3hx=w45-h45-p-rp-mo-ba3-br100","Carlota Ruiz","Local Guide · 25 reseñas · 88 fotos","Hace un año","Es la estación de metro a la que vamos de toda la vida. A veces hay fallos de movilidad con los trenes. En verdad es recomendable para desplazarse libremente por la línea 7."
"https://lh3.googleusercontent.com/a-/ALV-UjXZhVcOoJ_iW6voqRpnLLJXzxN2Tbr_7paJogMPTLPIKUHabNU=w45-h45-p-rp-mo-ba5-br100","César Ceriani","Local Guide · 314 reseñas · 268 fotos","Hace 7 años","Mal... No tiene acceso a personas con movilidad reducida, no hay ascensor..."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w45-h45-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Esta estación de la línea 7 tiene dos accesos/salidas. No tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjVJSSdqbStA956JGR46qSO2pRu61hGy5AoeE745DoAmTWaq_vfhUg=w45-h45-p-rp-mo-ba5-br100","Jose Peyre","Local Guide · 565 reseñas · 501 fotos","Hace 6 años","Regular, porque carece de ascensores, como buena parte de sus compañeras. Que se cierre la salida sur a las 21.40 es un atraso, porque si ya no hay personal, ¿qué más da cerrarlo cuando la otra? Lo que sí es es un incordio."
"https://lh3.googleusercontent.com/a-/ALV-UjXqM86OFdb0KL_jI13XRVy5Cc5oOOQ3bM4iGaQYzGbZR3rRXSrd=w45-h45-p-rp-mo-ba3-br100","Arturo Quispe Guillén","Local Guide · 30 reseñas · 20 fotos","Hace un año","Excelente infraestructura, buen sistema de calefacción que mantiene los ambientes calientes, ideal para tomar una siesta en caso de sueño =)"
"https://lh3.googleusercontent.com/a/ACg8ocLlaaO_IofkDSvzBpb4GVI9aFH0mQYqU96HvoFWoVsQTwCl6Q=w45-h45-p-rp-mo-ba4-br100","Isabel Corchado Sanchez","Local Guide · 70 reseñas · 2 fotos","Hace 2 años","La avenida es amplia,  hay una parada de metro del mismo nombre y gran variedad de tiendas, bares y pilla justa al lado de los juzgados. También hay varios colegios y una gran cantidad de autobuses pasan por ahí. Es una calle muy animada"
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w45-h45-p-rp-mo-ba7-br100","K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace 4 años","Es una estación muy vieja, que necesita una reforma y no hay ascensor. No está adaptada para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w45-h45-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 825 reseñas · 3.509 fotos","Hace 3 años","📌 Tiene dos salidas, uno en la Avenida de la Institución Libre de Enseñanza y otro en la Calle José Arcones Gil esquina Calle Río nervion. Una pena que no tenga ascensor.…"
"https://lh3.googleusercontent.com/a/ACg8ocJDQzw_E9MEGk2sVwOrr7SU_Nif3jtOshHtPhNFJoDeGxwk3Q=w45-h45-p-rp-mo-br100","Agustin Gonzalez","8 reseñas","Hace 4 años","El acceso por c/José Arcones Gil está en un estado lamentable,muy sucio,huele que apesta a aguas fecales,las escaleras mecánicas no funcionan,no tiene ascensores,la gente que se cuela todos los días..."
"https://lh3.googleusercontent.com/a/ACg8ocJGsIWPTw81H7nmA1GX3gXR8XKuEajHeEYIYvgkTCS6IDJ7GA=w45-h45-p-rp-mo-ba3-br100","Miguel Delgado","Local Guide · 16 reseñas · 1 foto","Hace 6 años","Parece mentira que siendo la estación de metro más próxima a la calle Albarracín33, donde hay que acudir para la adquisición y o renovación de tarjeta de aparcamiento para personas con movilidad reducida,está estación no este preparada para ello,luego quieren fomentar el transporte público,es imposible."
"https://lh3.googleusercontent.com/a-/ALV-UjWVoTSvPxV9rX0H96xs6rx2MueRpEzcqhPoHCoFDKe5FS-KYzQT=w45-h45-p-rp-mo-ba4-br100","Jamilet Gadea hernandez","Local Guide · 94 reseñas · 275 fotos","Hace 2 años","Muy buen lugar ,varias paradas de autobuses, boca de metro, hay restaurantes varios y tiendas aquí este barrio está muy bien comunicado."
"https://lh3.googleusercontent.com/a-/ALV-UjUtzarIPd0krLNKT7plNDNDwSoDd-nW6EO-M0Tn3ZEvnxo-BG88pQ=w45-h45-p-rp-mo-ba2-br100","Yangchen Prado Alegre","Local Guide · 17 reseñas · 16 fotos","Hace 6 años","El restaurante favorito de mis hijos. La comida esta muy buena y a un precio mas que razonable. Reserva en plancha y el cicinero hace malabares con la comida. Muy recomendable"
"https://lh3.googleusercontent.com/a/ACg8ocJf5pu-8jwFB9qAmAbblhlDlMcOoGvQAzJW049iDOrTPK_20w=w45-h45-p-rp-mo-ba3-br100","Carlos Luis Martínez Martín","Local Guide · 21 reseñas","Hace 2 años","Es una estación del metro de Madrid, rápido, limpio y extenso, uno de los mejores del mundo"
"https://lh3.googleusercontent.com/a-/ALV-UjVJ_YYdj9MBIFmQys4YsqGjDiKJo_1tylgl08eUBKTxyW7hvBGl=w45-h45-p-rp-mo-ba2-br100","Shay Morgu","Local Guide · 18 reseñas · 1 foto","Hace 7 años","No tiene ascensor para personas mayores ni minusvalidos y carece de cobertura."
"https://lh3.googleusercontent.com/a/ACg8ocKahvdgRntpMFUp4UkITWHlvxHiGBvwwbbw_c4JPl6HcBLW=w45-h45-p-rp-mo-ba4-br100","Felix Boyer","Local Guide · 184 reseñas · 17 fotos","Hace 6 meses","Falta limpieza externa"
"https://lh3.googleusercontent.com/a/ACg8ocLTvILh3jn6L6XJQg4a-CeCV1Sf-dAMJMRqM-vb0MzytzS1UA=w45-h45-p-rp-mo-ba5-br100","Andres García Suárez","Local Guide · 288 reseñas · 133 fotos","Hace 2 años","Nos gustó, muy agradable y tranquila"
"https://lh3.googleusercontent.com/a-/ALV-UjVoiWOrs7sWlRp8W51SS6t21WB4xH0QPT88hzkTPeOOozQU3gAM=w45-h45-p-rp-mo-ba5-br100","Fco Javier Martin Ramos","Local Guide · 149 reseñas · 149 fotos","Hace 2 años","Buen sitio, buen comunicado y con muchas líneas de autobuses"
"https://lh3.googleusercontent.com/a/ACg8ocJXJmRx7DYI9fJJ3CRnAcJCu4Jxe78TQFEFXpAWnhMKULj-ew=w45-h45-p-rp-mo-ba4-br100","JUAN ANGEL AGUIRRE PIZARRO","Local Guide · 139 reseñas · 14 fotos","Hace un año","Estuve en la s.s. muy bien atendido"
"https://lh3.googleusercontent.com/a-/ALV-UjUIWdNJEtHhQ_Qtzd9l4D1hQ4R4HdNbE7a0yg5MLyj48zJeMf4CRQ=w45-h45-p-rp-mo-ba5-br100","Aroa Anton","Local Guide · 199 reseñas · 162 fotos","Hace 2 años","Sería genial si tuviera ascensor"
"https://lh3.googleusercontent.com/a-/ALV-UjVhlijBT9KZrMOH7Tnk3Kk5RHeZeb3NhJJ_HJouwpeUo7WIb6rM=w45-h45-p-rp-mo-ba3-br100","Fátima Husaini","Local Guide · 21 reseñas","Hace un año","El estado de la máquina para poder sacar el tiquet nefasto"
"https://lh3.googleusercontent.com/a-/ALV-UjWRFErFPB5dC3CkLL01Mn0UbcMjB8crvLeNQclYvXoJl8hdzqU=w45-h45-p-rp-mo-ba6-br100","Mari Carmen Carrero Mozos","Local Guide · 477 reseñas · 60 fotos","Hace 11 meses","Pues muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjXR0YcFsu4Y8fXmY0iViSKlpdy0BMQXgvZg2DbeBNUw3iUUL9s=w45-h45-p-rp-mo-ba5-br100","Manuel Gil Saavedra (MANOLETE)","Local Guide · 192 reseñas · 38 fotos","Hace 9 meses","Una estación de METRO normal y corriente."
"https://lh3.googleusercontent.com/a-/ALV-UjXRlJ8lBXrFwCbtrxwtPphlgeEmaiKWhHh-9xtdcOjkUWJYzT06Yg=w45-h45-p-rp-mo-ba5-br100","Soymanu","Local Guide · 224 reseñas · 268 fotos","Hace 4 años","Durante la cuarentena.  Muy desolada."
"https://lh3.googleusercontent.com/a-/ALV-UjUzSlXr_gVaPR6elMtN_na-DtpWiLS3sQMDlKqEXEKB0x9Q5nV9=w45-h45-p-rp-mo-ba4-br100","Eduardo Martínez","Local Guide · 200 reseñas · 8 fotos","Hace 7 años","No tiene cobertura a la conexión de datos"
"https://lh3.googleusercontent.com/a/ACg8ocJqP1o-vEKdXpJRCezLmmOFBjnEYwerDDgGcRkAhtExYv1k_A=w45-h45-p-rp-mo-ba4-br100","Jacinta Asunción Demera Cheverria","Local Guide · 115 reseñas · 368 fotos","Hace 4 años","Muy buena zona"
"https://lh3.googleusercontent.com/a-/ALV-UjUcXEppGy1IIOJfHgcAwFzJwot7OsRPeRCxXc4vNLnzgAfG03cvOA=w45-h45-p-rp-mo-ba5-br100","Julissa Garcia","Local Guide · 145 reseñas · 1.047 fotos","Hace 2 años","Fácil acceso"
"https://lh3.googleusercontent.com/a-/ALV-UjXOVeYrkvMsyQdDrEL2Lv2dZ0Jl3nsORH5-yCyEN7OT8IoIDDk=w45-h45-p-rp-mo-ba4-br100","Victor Arocena Fernandez","Local Guide · 91 reseñas","Hace 2 años","Todo correcto"
"https://lh3.googleusercontent.com/a/ACg8ocIP4pX_oGHfh4j5EdpMj889g02MLNmAEzHXZr62yQdLM9B2SOE=w45-h45-p-rp-mo-ba3-br100","CF González","Local Guide · 78 reseñas · 3 fotos","Hace 7 años","faltan ascensores"
"https://lh3.googleusercontent.com/a-/ALV-UjVtWXeP3H54Px5dLItPYD27ufxmpwOfIj15tKcTXiUOxZv6MveQdA=w45-h45-p-rp-mo-ba4-br100","Mario Cortes","Local Guide · 38 reseñas · 53 fotos","Hace 4 años","Sucia y descuidada"
"https://lh3.googleusercontent.com/a-/ALV-UjVU4J4VhW4GXN2SnYIxRm8cXg3lbr3Xux_AGrkRxqToiUTOgGrC=w45-h45-p-rp-mo-ba4-br100","IZOOXI MAILBOX","Local Guide · 131 reseñas · 2 fotos","Hace 7 años","bien bien"
"https://lh3.googleusercontent.com/a-/ALV-UjUJcf_kuISESkgCJH4xsHsrBqqgyrSUZVTtHWSw5_c_dgH9_PQC=w45-h45-p-rp-mo-ba5-br100","Chakir Doukali","Local Guide · 9 reseñas · 45 fotos","Hace 3 semanas",""
"https://lh3.googleusercontent.com/a/ACg8ocJLs-UDkABlps2yqAgQg28vDQhPY12P3-MPj5RkKhQUYtKi3Q=w45-h45-p-rp-mo-ba5-br100","Jesús Gómez","Local Guide · 60 reseñas · 8 fotos","Hace 10 meses",""
"https://lh3.googleusercontent.com/a-/ALV-UjWYKG0TiFM79LAgvFYefF3DUKy-bprkHE4OVyx_TKxwlLH_oyliIQ=w45-h45-p-rp-mo-ba4-br100","Венелин Неделчев","Local Guide · 34 reseñas · 108 fotos","Hace 10 meses",""
"https://lh3.googleusercontent.com/a/ACg8ocLsGsA-iYFdIo1oy78mPkk3Zbv-nsKpn9w607MdQInWNug6JA=w45-h45-p-rp-mo-ba4-br100","MADRID SPAIN","Local Guide · 28 reseñas · 7 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjWkDfNskROs2_FAkRTpV-4saZaSbQKhqmJahyfBNNVc4igyKN0F=w45-h45-p-rp-mo-ba4-br100","Aure Montes","Local Guide · 117 reseñas · 19 fotos","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjUc8kpv0kn-N2-cYkQPTIr2OMyi7eIX1Xj2TFfluvqO0hTaC9bA=w45-h45-p-rp-mo-ba4-br100","Juan Carlos Hernandez Barreno","Local Guide · 80 reseñas","Hace un año",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9ctQhiGfkjOP-f_Idj8-TERQ_OEz4PguwXmUGB9HCWg7WNDJ1hQ=w45-h45-p-rp-mo-ba4-br100","Henry Aguirre","Local Guide · 103 reseñas · 52 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWsHbpy_jRLR06bWKUKLBd0qL_eNHlcxDTVFfHfc_SKxlB6ltSX=w45-h45-p-rp-mo-ba5-br100","Antonio Indiano Vicente","Local Guide · 152 reseñas · 9 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3WWkcSgs9cvrZQC7Ld1_29RV5-QYm3TKbvayTuy0odA9wy64=w45-h45-p-rp-mo-br100","Deian Argall","4 reseñas","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXQajZCp5AjpHzeN-_7ZhkRAIcgE7J-yBjysS-SQAJgP0bYQ2w=w45-h45-p-rp-mo-ba4-br100","Javier Cinthya","Local Guide · 70 reseñas","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUZZAAfjJY4AJvPgf0whaHroRkhOBN8wVgrXEiqfR_O3q039qj3=w45-h45-p-rp-mo-ba4-br100","Nay Mejías","Local Guide · 84 reseñas · 168 fotos","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9ghNfefBm3zGwPxhHNWXeW-g-1A6hKGOygno1PZlxLImpI95oMQ=w45-h45-p-rp-mo-ba6-br100","Borja Notario","Local Guide · 7 reseñas · 159 fotos","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1JVh7r97NvjXJKTGec_8WI12P1xtlLk16VkD2nRF6XxwF3OggCg=w45-h45-p-rp-mo-ba4-br100","jesus marugan","Local Guide · 50 reseñas · 21 fotos","Hace 5 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUUEfNXoE-sLwKRr4wvgfdUtdckXCenpvVvLkUnIdI-7M2Gu6I=w45-h45-p-rp-mo-ba4-br100","jorge romero","Local Guide · 84 reseñas · 426 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUwgYgmYb9l8J-Hkz3YxXlDm4Fy7psFpsyMJl5jp3eyzltK3Ko=w45-h45-p-rp-mo-ba4-br100","Mario de Andrés","Local Guide · 112 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIaT-EuxXxfymaIpQ9uZwckqhkW8UwVQ-2BV1b4xTRpNFgfqg=w45-h45-p-rp-mo-br100","Pulamica Pedro","","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocLUNEU-KQp24zmqq-hEq0-qUdSjkjWQfOgZSWAtl3jdJ3qo8QoW=w45-h45-p-rp-mo-ba7-br100","A. M.C.","Local Guide · 380 reseñas · 11.629 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVuv2lgav4VOHAQ4zltjnldemZ757W9XjpiUjCViDJY21rSYnIVyQ=w45-h45-p-rp-mo-ba5-br100","Antonia Otero Mora","Local Guide · 123 reseñas · 438 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsZaFnLQCGIe9yYZLs7azekNIzloSzJgme8D1IPpW1GJfAtCnPDA=w45-h45-p-rp-mo-ba5-br100","Ioan Alexandru Todorache","Local Guide · 279 reseñas · 204 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocLiZlZmERRQQW4JZAwLiHdFmv93slfNKgWUSJ7QhjKblO-7=w45-h45-p-rp-mo-br100","Rosa Giovanna Romano","38 reseñas","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU39RA4pcI4k7xjQVaMH46I1HJqNpLB0BscitJW2M2LHOy2yyg=w45-h45-p-rp-mo-br100","Husien Mohammad","4 reseñas · 2 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjVoO5IFtM5Oac4_INtitUSoBACL8bfTTkyCgbFW8awcUdcdyDBN=w45-h45-p-rp-mo-ba3-br100","Sergio Balandín","Local Guide · 18 reseñas · 4 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIx7Z8LlTgUyFUeo0Wly5M1opVzriOWgkjmSBTKOdpn_zEhBg=w45-h45-p-rp-mo-ba3-br100","Tanvir Anjum Ahmed","Local Guide · 31 reseñas · 21 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUwox5ZtMHJHC4bFwOcWhAVQuXAFKDF3qsHkA0hC5VK06jDtb_q=w45-h45-p-rp-mo-br100","Fernando Montoya","5 reseñas","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocKHQzKmrR2dbIB_tX1oLyB_uDvaK0l9YdUEhLp9sIfKhcf3cg=w45-h45-p-rp-mo-br100","Esmeralda Garcia","","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjXQBzPWIQMBaLiDnfh77S-Hw6uemfavTsJaLwfK7PJx48IOSfjl=w45-h45-p-rp-mo-ba4-br100","Julien Gigomas","Local Guide · 106 reseñas · 38 fotos","Hace 7 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWGvBH21aI-asnkh_qbVFZCZ7DyXGSO7CJ3Y-sCkXjxe9FbASCKAw=w45-h45-p-rp-mo-br100","Miguel OROZCO","1 reseña · 7 fotos","Hace 8 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUuwKIzPvQcTPL2DtJ_l0c3uzR_aSytCBU4yDHZEJSTf_LpBVqXag=w45-h45-p-rp-mo-ba3-br100","Dani B.M","Local Guide · 24 reseñas · 37 fotos","Hace 8 años",""
