OriginalText,AugmentedText,SemanticSimilarity,LexicalSimilarity
"Tiene fácil acceso para las personas con movilidad reducida, una salida hacia el colegio Julián Besteiro y el otro en frente del Burgen King.","Tiene fácil movilidad para las salida pueblo con entrada reducida, una hacia besteiro el colegio Julián Besteiro y el otro en frente Burgen King.",0.90917856,0.7058823529411765
"Espero que hayan mejorais","espero "Espero que mejorais"",0.8581838,0.6666666666666666
"La estación es antigua, aparte de tener una sola salida de metro no está habilitada para personas con discapacidad. Además comunica por un pasillo subterráneo (que parece infinito) con Embajadores que pertenece a la línea 3 de metro","La (que antigua, a un lado de dar a subterraneo una estación partida de tren salida no infinito 3 para Embajadores con discapacidad. en cualquier caso comunica por un galería subterráneo sola parece infinito) con gente que pertenece a la cable sola habilitada de metro",0.78846765,0.4838709677419355
"Bien","bien",1.0000002,1.0
"Bonito comodo","comodo comodo"",0.8033781,0.5
"La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande.","La terminal veo bien ordenada y señalizada pero está que error asientos, los que hay veo no son suficientes, las pantallas son canción algo pequeñas se quizás más poniendo paneles y que la letra sea más",0.9288851,0.7727272727272727
"Bien indicado, limpio, cómodo y rápido para la cantidad de gente que hay en ese lugar","indicado, Bien limpio, cómodo y ágil para la medida de pueblo que hay en ese lugar",0.8095919,0.5
"Muchas colas, no hay WC público.","inodoro colas, no "Muchas público." baño",0.7262111,0.42857142857142855
"Todo está muy bien adaptado para todas las personas","está sustancialmente personas bien adaptado para todas las bien",0.90118873,0.5
"Espacios adecuados al flujo de pasajeros con buena iluminacion y señalizacion. Deben trabajar en colocar mas estaciones para recarga de equipos electrónicos. Tal vez a traves de alguna alianza con proveedores que puedan intercambiar el servicio por publicidad","adecuados al flujo de pasajeros con Tal iluminacion y señalizacion. Deben electronicos ejercitar en colocar mas estaciones para recarga de equipos electrónicos. buena a "Espacios de alguna alianza con proveedores que puedan intercambiar el servicio por buena",0.9374976,0.8
"Pues muy mal a ver si arreglan de una vez por todas los tejados y que abran la cafetería nos tienen  abandonados","Pues abran mal a enterar si arreglan de una self-service por todas vez imperfectamente los tejados y que sustancialmente la vez nos",0.71378183,0.4
"Algo antiguo. Me ha costado encontrar los paneles de información. Y apenas servicios donde comprar o tomar algo.","encontrar "Algo antiguo. Me ha lado agotar los paneles de información. Y apenas comodidades donde o consumir algo."",0.7822888,0.42857142857142855
"Muy limpio y amplió, bien señalizado","Muy considerablemente amplió, y preciso señalizado",0.6895118,0.42857142857142855
"Servicio rápido y eficiente, pero es una mala idea tener que pagar un suplemento de 3 € además del billete para llegar a las T1, 2, 3 y 4. Muy mala decisión codiciosa.","además muy dinámico y eficiente, pero es una servicio avalar inspiración que mala un suplemento de 3 € Servicio pasaje para llegar a las decisión 2, 3 servicio y 4. considerablemente mala T1,",0.84060085,0.52
"Excelente idea tener el metro yendo al aeropuerto. Más excelente aún es la idea de tener, prácticamente en cualquier momento, personal disponible para ayudar a las personas que llegan y se encuentran con la máquina expendedora de billetes que ofrece cosas diferentes a las que informan en la web del metro de Madrid (que lamentablemente no está actualizada). .","prácticamente traer alumbrar subterráneo mundo el metro yendo al aeropuerto. divino actualizada). la inspiración de en cualquier ayudar momento, diferentes disponible para auxilio a las personas que llegan y se billetes expendedora con la turismo encuentran practicamente de billetes que ofrece cosas personal a las que (que en la web del tren al aluminio de Madrid informan cosas lamentablemente no aún .",0.78759706,0.6341463414634146
"Es muy conveniente que el metro (línea rosa) vaya al aeropuerto. Sí, en muchos aeropuertos del mundo hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero llegar en metro sin cambiar de tren es mucho más cómodo. El viaje en metro desde el centro de la ciudad (desde la parada Sol) hasta el aeropuerto duró aproximadamente una hora.","aeropuerto. muy recrudecerse tren que el conveniente subterráneo (línea vaya al Es Sí, en muchos aeropuertos del hombre hay trenes (Aeroexpress) desde la ciudad hasta el aeropuerto, pero suceder en tren subterráneo sin mudar de tren es mucho urbe El viaje en tren subterraneo subterráneo desde el hora. centro de la Sol) la duro (desde hasta el aeropuerto duró considerablemente una rosa)",0.7741047,0.6
"Limpio y ordenado. No es caótico a las 6:30 a.m. del domingo. Es necesario comprar un boleto especial de Metro ""Aeropuerto"" para entrar o salir de esta estación de Metro.","participar y ordenado. No es caótico a las 6:30 del domingo. Es estacion ""Aeropuerto"" necesario un boleto especial de tren adquirir subterráneo necesario para es Limpio o de esta de Metro.",0.86817217,0.6363636363636364
"Bien organizado y perfectamente señalizado con las cifras de tráfico: al menos 54.000.000 de pasajeros al año. Desventajas: La T1-2-3 es muy sinuosa y, por lo tanto, los caminos y puertas realmente largos se muestran muy tarde, por lo que hay que darse prisa. Afortunadamente, los tiempos de viaje se muestran relativamente. MÁS: muchos baños limpios y muy espaciosos, conexión rápida de metro con el centro de la ciudad y controles de seguridad súper bien organizados y efectivos sin tiempos de espera... ¡eso sólo se puede soñar en los aeropuertos alemanes!","organizado y perfectamente señalizado con urgencia las tren subterráneo cifras de hay menos 54.000.000 de largos al año. Desventajas: La T1-2-3 determinación sinuosa y, por lo caminos los y puertas realmente pasajeros se tanto, muy por lo que Bien que darse prisa. rapida Afortunadamente, los al de viaje se muestran relativamente. MÁS: organizado muchos baños y considerablemente espaciosos, conexión rápida de tiempos con el centro de la ciudad y de súper bien organizados y efectivos sin bien sustancialmente tiempos de espera... organizado ¡eso sólo se puede encubar en los aeropuertos alemanes!",0.8683522,0.7368421052631579
"Muy complejo. No muy bien señalizado.  nos perderíamos","Muy complejo. No perderíamos señalizado. nos no considerablemente",0.9028146,0.7142857142857143
"Muy agradable, rápido, amigable para los niños, cooperativo con las familias.","grato Muy agradable, rápido, amigable para los niños, con las familias.",0.93907344,0.75
"¡Excelente!","extraordinario",0.45183825,0.0
"He venido a esperar a alguien. He llegado en metro, excelente. He pagado 3€ para poder salir. Y no he encontrado nada para desayunar por menos de 3€. Un vaso de fruta, pequeño y de plástico de un solo uso, son 4'95€, eso sí pelada.  El personal es amable. Tendré que estar aquí dos horas, pero los asientos son cómodos y he traído lectura.","venido a anticipar metro, a alguien. He llegado en servicial excelente. He pagado 3€ para comodos echar salir. Y no he encontrado nada para desayunar por de 3€. Un 4'95€, de uso, y vaso de plástico de un solitario fruta, aquí canción eso vaso pelada. El personal es amable. que haber sí dos horas, atento pero los asientos cómodos y he traído vaso",0.8795387,0.627906976744186
"El cercanías te deja en la puerta del aeropuerto y es más barato que el Metro","El cercanías te seguro deja en la seguro del barato y más aeropuerto que el Metro",0.9318112,0.6666666666666666
"Diseño espectacular,limpio,bien comunicado y muy buena atención en general.","Diseño espectacular,limpio,bien comunicado diseno y muy atención en general.",0.9786577,0.8571428571428571
"Muy bien","sustancialmente "Muy",0.58311945,0.3333333333333333
"Por lo menos en lo que respecta al metro está todo muy correcto","Por respecta lo considerablemente en lo que respecta tren subterráneo está todo menos correcto",0.6510933,0.4
"Fácil usar fácil llegar!","usar fácil venir llegar!"",0.832829,0.75
"Al preguntar en información de renfe como puede ir a Madrid , no son precisos y apáticos. No Dan información suficiente  al final te tienes que buscar como llegar a Madrid centro","Al preguntar en Madrid de renfe como renfe puede ir a información al canción no y apáticos. suceder Dan información suficiente , cierre te tienes puede que buscar como a Madrid centro",0.952504,0.6666666666666666
"Muy bien todo, suele estar muy concurrido a diario pero buena atención y buenos sitios donde tapear o comer","Muy todo, suele tapear considerablemente concurrido a diario pero cuidados y estar buenos sitios donde comer o comer",0.93822837,0.6666666666666666
"Rápido y eficiente. Buena ayuda con la orientación del personal.","eficaz y eficiente. personal. auxilio con la orientación del Buena",0.8246243,0.5555555555555556
"Olvídate del tren, es demasiado lento comparado con el metro. El coste es aproximadamente el mismo, pero hay menos trenes y hacen largas paradas de camino a Atocha.","Olvídate tren, es del comparado con el metro. El menos es coste paradas el largas pero hay menos trenes y hacen mismo, paradas de manera a Atocha.",0.91254663,0.75
"Limpio y bien organizado.","organizado. y preciso Limpio",0.90143514,0.5
