"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 9 meses","La estación de Noviciado se encuentra en el distrito Centro de la capital de España, Madrid, en el barrio de Universidad. Los andenes de Noviciado se encuentran bajo la calle de San Bernardo entre las intersecciones con la calle Noviciado (por eso su nombre) y la calle de los Reyes."
"https://lh3.googleusercontent.com/a-/ALV-UjVgj3ZHQNVxzkKkUr4Dr2LkA13pzUTZFVwpvQDyHsl-GWwX3mGC=w36-h36-p-rp-mo-ba5-br100","César Hernando","Local Guide · 373 reseñas · 166 fotos","Hace 2 años","Parada normal de metro, con su característico olor a cerrado, a humanidad concentrada y a contaminación condensada. Lo bueno es que si hace mucho calor te da sombra, si hace mucho viento, sirve para guarecerse, o incluso para mantenerte seco mientras llueve. El metro llega normalmente cuando pone en el letrero luminoso que va a llegar. Lo mejorable del metro de Madrid es la hora de cierre. Sería muy interesante que funcionase hasta más tarde por la noche, especialmente los fines de semana, que podría cerrar por lo menos a las tres o tres y media de la madrugada. Y con esto y un bizcocho, hasta otra review extendida."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.805 reseñas · 12.351 fotos","Hace 7 años","Falta de ascensores. La estrechez de sus salidas tiene su encanto."
"https://lh3.googleusercontent.com/a-/ALV-UjVgjMQG56Be2SNOpc6ToSbPxN8VZEvT5ovUSlAIJO9OtYLAfQxL=w36-h36-p-rp-mo-ba5-br100","Luis Daniel Fernández Montilla","Local Guide · 42 reseñas · 1.112 fotos","Hace 6 años","Barrio tranquilo en pleno centro de Madrid, comunicación con la línea 2 de metro únicamente.…"
"https://lh3.googleusercontent.com/a-/ALV-UjXNIeZj93h8R1CHn_jqMe6vsi98ZFw2AFNIBE85r58NbexaFc3V=w36-h36-p-rp-mo-ba3-br100","Alex Ev","Local Guide · 46 reseñas · 3 fotos","Hace 5 años","Servicio de metro espectacular, la atención al teléfono, brillante. Nos dejamos un ordenador en la máquina de billetes, y en 5 minutos se movilizaron para encontrarlo. Gracias a Montse en especial. De 10."
"https://lh3.googleusercontent.com/a-/ALV-UjWLODJM4t0YhQPRLYmFysxT90kSnMjtZNFBbOyNP507tb65kBk=w36-h36-p-rp-mo-ba4-br100","A. L. G.","Local Guide · 79 reseñas · 80 fotos","Hace 6 años","Que a nadie se le ocurra pensar ir desde la linea 2 a la 3 (plaza de España) por los túneles, es un viaje interminable..."
"https://lh3.googleusercontent.com/a-/ALV-UjVEUgSLYOQC-La2Rbj1daC44A1rJCVstn4YT8HyM1x2eXlMUjXZ=w36-h36-p-rp-mo-ba6-br100","Jose Mora","Local Guide · 842 reseñas · 175 fotos","Hace 8 meses","Una buena estacion centrica de metro."
"https://lh3.googleusercontent.com/a-/ALV-UjWXN-AU8CDhTm2eB7ID0A3O3oq5GJoQqRUUBb-audD7gj7sVTwqEg=w36-h36-p-rp-mo-ba7-br100","Maria C.","Local Guide · 1.202 reseñas · 5.518 fotos","Hace 4 años","Hemos desayunado un bizcocho bastante rico. Los camareros amables"
"https://lh3.googleusercontent.com/a-/ALV-UjW_wgpuSJY9wllbVE9u1GSAtlvpPTsMByX7elCR8J2_Dn-CWSpq=w36-h36-p-rp-mo-ba6-br100","cerrea cortijo","Local Guide · 652 reseñas · 1.337 fotos","Hace 5 años","Pequeña estación de tren de la línea 2"
"https://lh3.googleusercontent.com/a-/ALV-UjWmCvMoXO3_NDhjrs1Yl9nUn8K6c7Kyhkzk2jhraTXKiNmdvOqYuw=w36-h36-p-rp-mo-ba3-br100","Javier Velásquez","Local Guide · 67 reseñas · 12 fotos","Hace 2 años","Tido muy bien pero le falta un ascensor."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Noviciado es una estación del servicio de metro de Madrid línea 2 en la calle noviciado en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjXv7xeClaRg6U2TfjuKBBL4C-JK3Js5t-P5ssxlDdut4_mR8diNDg=w36-h36-p-rp-mo-ba5-br100","Juan talavera","Local Guide · 231 reseñas · 200 fotos","Hace 2 años","No es accesible para movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjVfrUwb7YXKahvzWdnZR7BFeKp9_pFAVsqtrMlAE_E-BReg-iM32w=w36-h36-p-rp-mo-ba4-br100","Javier Saiz","Local Guide · 109 reseñas · 144 fotos","Hace 4 años","De momento a esta hora, no hay nada"
"https://lh3.googleusercontent.com/a-/ALV-UjV29LCwSbOu7BmgLAneA1ty0k9ht2IYKfwURjY7b6zq6ccMLRY=w36-h36-p-rp-mo-br100","Jordi palmós","10 reseñas","Hace 5 años","Buenas comunicaciones, pero la parada merece una renovación."
"https://lh3.googleusercontent.com/a-/ALV-UjURfeJI2mrl5um6F2UjKKYcZB5rzSXJBgVKRZPKBxFsgjAaKu8ikw=w36-h36-p-rp-mo-ba4-br100","Jesús Herrero","Local Guide · 310 reseñas · 88 fotos","Hace 7 años","Una de las estaciones de metro con la salida más estrecha..."
"https://lh3.googleusercontent.com/a-/ALV-UjXqhdvFx8X4z10dnZA8znd2UraaAS27pLontjHtQ_EoWJRjRmcO=w36-h36-p-rp-mo-ba6-br100","David Vázquez.","Local Guide · 777 reseñas · 661 fotos","Hace 4 años","Céntrico."
"https://lh3.googleusercontent.com/a/ACg8ocJtopN-uHblXTUAptXprhFnzXtfJG1cM49b_q7c2MwAWATe1A=w36-h36-p-rp-mo-ba5-br100","Gunter Vidal","Local Guide · 250 reseñas · 253 fotos","Hace un año","De fácil acceso...."
"https://lh3.googleusercontent.com/a/ACg8ocI-rxV3oRfMJgdMBz-6vA3OvdLVSFFc198NXn0qxMtFM-Yo9A=w36-h36-p-rp-mo-ba6-br100","Enrique Camacho","Local Guide · 512 reseñas · 28 fotos","Hace un año","Estación de Metro."
"https://lh3.googleusercontent.com/a-/ALV-UjX365C6S11vq1mdfp3rO9olG8dPuA9GLicNIBvqUCeWSj97kFozTQ=w36-h36-p-rp-mo-ba4-br100","Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Estación sencilla"
