"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVJ6de5lEcQKAYmreSBFbw8YyB3cKeXwuSPzrJ1U39YseOv6vXoLg=w36-h36-p-rp-mo-ba4-br100","Rafa","Local Guide · 206 reseñas · 124 fotos","Hace una semana","Se trata de una de las principales estaciones del Metro de Madrid. Al lado se encuentra el Hotel Riu Plaza de España. Tiene conexión con las líneas 2, 3 y 10 y está muy cerca de la de Gran Vía, en pleno corazón de la ciudad"
"https://lh3.googleusercontent.com/a-/ALV-UjV8OKnj1vDqUFCItFMzJObQpdnIY6KAugUs_aTkRkmU0X4IOBLX=w36-h36-p-rp-mo-ba4-br100","uyen nguyen","Local Guide · 29 reseñas · 139 fotos","Hace 3 meses","Sitio público famoso con muchos eventos, bonito para pasear, comprar, comer"
"https://lh3.googleusercontent.com/a/ACg8ocIpmLMXxL9pEvKo8oa2MSt0NQi_Cd5OpGxmYPb_y0NulkaSo1g=w36-h36-p-rp-mo-ba5-br100","M E","Local Guide · 563 reseñas · 299 fotos","Hace 6 años","Mítica plaza de Madrid en la que se unen algunas arterias de la ciudad. La plaza en sí tampoco es que sea súper bonita porque en mi opinión tiene mucho pavimento y pocos árboles. Está pendiente de una reforma profunda que en principio va a ser radical, veremos a ver en qué queda... Se puede acceder a las líneas de metro 3 y 6."
"https://lh3.googleusercontent.com/a-/ALV-UjW-f4OKRk2SRgWYAazXCq9qNelypTkE9iGr5QpiLU2HHKRkPK8=w36-h36-p-rp-mo-ba5-br100","Eduardo Avila","Local Guide · 296 reseñas · 444 fotos","Hace un año","La renovación reciente es simplemente encantadora. Ha logrado conectar de manera fluida tres lugares icónicos del centro de la ciudad, como son Debod, Plaza de España y Palacio Real, a través de un agradable paseo que incluye la cuesta de San Vicente y Paseo del Pintor Rosales, con la incorporación de unas escaleras. Además, el lugar está repleto de áreas destinadas para descansar y relajarse. Cabe mencionar que el carril bici atraviesa la zona, por lo que se debe tener precaución tanto como ciclista como peatón. Aunque la explanada de hormigón no posee una estética atractiva, se ha convertido en un espacio funcional que alberga diversos eventos culturales y de ocio, como casetas navideñas, una pista de hielo, proyecciones de cine al aire libre y conciertos."
"https://lh3.googleusercontent.com/a-/ALV-UjWIK9EPTqvrb5E04ViWctjSG1plwNmukQjmH7BPrqsADZ-JmVk=w36-h36-p-rp-mo-ba3-br100","Ali GC","Local Guide · 44 reseñas · 34 fotos","Hace 10 meses","Lugar imprescindible en tu visita a Madrid. Me ha encantado más aún después de las remodelaciones. Buen sitio para pasear con amigos, solo y/o en familia."
"https://lh3.googleusercontent.com/a/ACg8ocIIh1psCmWtts4R5F8AIWteQi-wzvfJPnaaT8gAJUKspQXVBw=w36-h36-p-rp-mo-ba4-br100","rossemarie lima “Rosse”","Local Guide · 88 reseñas","Hace un mes","Es muy bonita como está ahora. Las actividades dan vida al centro ,verano tiene cine ."
"https://lh3.googleusercontent.com/a-/ALV-UjWp6fc16MMw8YkAjg7G-wZs5VANr8mhi9Dg75rG_uuf0kqyGwo6=w36-h36-p-rp-mo-ba2-br100","Mohamed AHARRAR BAKKALI","Local Guide · 7 reseñas · 15 fotos","Hace 2 años","Es una zona céntrica de Madrid, hay zona verde para relajar, el famoso fuente de la plaza de españa, está muy cerca del palacio real."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Metro Plaza de España L3 L10. La estación de Plaza de España está situada exactamente debajo de la plaza homónima, una de las más emblemáticas de la ciudad. En ésta confluyen las concurridas…"
"https://lh3.googleusercontent.com/a-/ALV-UjW7HG5iRHLoDVhFPQAvTy_v1pq8Zl3_Ttg2cN-HhgAfCiPxrMJ5=w36-h36-p-rp-mo-br100","Juan Camilo Vallejo","2 reseñas","Hace 4 meses","Sitio pésimo y asqueroso, es imposible acceder con un carrito de bebe ya que ni sus propios trabajadores saben donde de encuentran los ascensores. Nos toco subir y bajar todas las escaleras con el carrito en mano."
"https://lh3.googleusercontent.com/a-/ALV-UjXHS1TyE3D9C6B6cxuOjbeIsWSOxBuegacScbBpXgSmzakl6yzAkg=w36-h36-p-rp-mo-ba7-br100","Juan Antonio","Local Guide · 977 reseñas · 11.266 fotos","Hace 2 años","Plaza emblemativa, está la tienda Zara más grande de España, preciosa, visita obligada a Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjXs-Cb5o-pUaA6gWS6xtHghb5xZcf6HNYU62gPnbOcN0ao01XfdlQ=w36-h36-p-rp-mo-ba6-br100","Ricardo Solano V.","Local Guide · 978 reseñas · 5.204 fotos","Hace 4 semanas","Plaza muy agradable y bonita. Amplios senderos"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 5 años","Tiene tres ascensores de acceso a las líneas 3 y 10 y otras cinco entradas repartidas por las cercanías de la plaza, tres líneas de metro 3, 10 y 2. Cuenta con covertura móvil y escaleras mecánicas. Zona tarifaria A y está adaptada para discapacitados."
"https://lh3.googleusercontent.com/a-/ALV-UjXJCRDBREzildTNVQR7frsuRNsiMdc8baSiOPWf9N0lu0kvY6um=w36-h36-p-rp-mo-ba4-br100","Pere Borras Jover","Local Guide · 72 reseñas · 485 fotos","Hace un año","Muy buena parada tiene demasiadas escaleras pero por lo demás bien y hay buena conexion"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.908 fotos","Hace 5 años","Tiene 2 líneas de metro. La estación por lo general está limpia casi siempre. En cuanto al entorno de úbica en pleno centro. Está en una plaza enorme... Que de hace unos años a ahora se está echando a perder mucho y es una pena que esté así"
"https://lh3.googleusercontent.com/a-/ALV-UjWI7yA5ph1s55AimBK2Matpl3QQhK9sgyKxChRYOpnzL_xAiz0=w36-h36-p-rp-mo-ba6-br100","alvaro prieto torres","Local Guide · 608 reseñas · 320 fotos","Hace 6 meses","Me gusta como han dejado el parque que está al lado del metro, después de tantos años de obras."
"https://lh3.googleusercontent.com/a-/ALV-UjVx0Lr7cKq1Md3fxD4mbR9lK6YryKird54Siy5ZX1ivJNUxfc0B=w36-h36-p-rp-mo-ba4-br100","Azumay","Local Guide · 118 reseñas · 280 fotos","Hace 5 años","Increíble lugar en todo el centro de Madrid, lugar perfecto para tomar unas cuentas fotos ✅"
"https://lh3.googleusercontent.com/a-/ALV-UjUjq__1Kej20ob9zQC9DBLGW45XLHY5MqwLHpAh9Ovo8Sexa19o=w36-h36-p-rp-mo-ba5-br100","Chava NoGa","Local Guide · 208 reseñas · 314 fotos","Hace 3 años","Puede que no sea común para los turistas, pero vale la pena conocer esta plaza."
"https://lh3.googleusercontent.com/a-/ALV-UjXN_8lqZwvWDE74pWGuKtN8T-Z0Z0XB0ObVFxmYncca5qwLmULnPQ=w36-h36-p-rp-mo-ba8-br100","David Gutiérrez Sacristán SPAIN","Local Guide · 1.184 reseñas · 22.136 fotos","Hace un año","Han dejado una plaza preciosa"
"https://lh3.googleusercontent.com/a-/ALV-UjXqe8wmhft8wpwt3nK58yxkw3sa-KZHeJ2sBRnX53_LQYzcrvri=w36-h36-p-rp-mo-ba6-br100","David Rodriguez","Local Guide · 399 reseñas · 952 fotos","Hace 4 meses","Bastante bien pero la construcción que hay juntos a Torre de Madrid...."
"https://lh3.googleusercontent.com/a-/ALV-UjVW64Azo9iFl1Z_WcLNVkNrhlUkEtfK3BK4YPAp6KwMLfFwhaWSwQ=w36-h36-p-rp-mo-ba4-br100","Luis Enrique Crespo Flores","Local Guide · 71 reseñas · 17 fotos","Hace 5 meses","Despues de la obra la parte que da a la gran via es una pista horrorosa de hormigon"
"https://lh3.googleusercontent.com/a-/ALV-UjWpBcpXee9tK0IykgJgIiDN5PEEL6XRO_GZd1llq67cKEvAb7bp=w36-h36-p-rp-mo-ba2-br100","Juan Miguel Aneiros del Barco","Local Guide · 15 reseñas · 1 foto","Hace 11 meses","Si lo que pretendes es sudar la gota gorda y pasar un rato de no relax en el centro de Madrid, éste es tu sitio. Lo mejor de todo: no funcionan los ascensores; abstenerse personas con movilidad reducida o familias con carritos. Eso sí, la pegatina de prohibido montar carritos bien visible en los lados de las escaleras mecánicas. Si quieres cumplir las reglas de seguridad de esta mofa de estación, puede que estés condenado a vagar eternamente por sus corredores o, directamente, bajarte en otra estación que no parezca estar estancada en el medievo."
"https://lh3.googleusercontent.com/a-/ALV-UjXdIEmWbgiJFCfOjy5BOnqveRsYfMtqo1MD3M8LljJ9Ub_BuPTFcg=w36-h36-p-rp-mo-ba6-br100","Franklin Pereira","Local Guide · 185 reseñas · 2.070 fotos","Hace 6 meses","Plaza ICONO DE MADRID. Recomendada para cualquier visita a España... RECOMENDADA"
